Linux 3.10.0-229.el7.x86_64 (ip-10-145-11-135.us-west-1.compute.internal) 	08/20/2015 	_x86_64_	(32 CPU)

10:03:36 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:04:36 AM     all     44.08      0.00     13.94      2.66      0.12     39.20
10:05:36 AM     all     42.35      0.00      9.48      7.62      0.05     40.50
10:06:36 AM     all     35.80      0.00      8.51      8.82      0.09     46.78
10:07:36 AM     all     25.01      0.00      7.45     10.33      0.11     57.11
10:08:36 AM     all     23.05      0.00      6.11     11.96      0.11     58.77
10:09:36 AM     all     23.29      0.00      6.40     10.80      0.09     59.41
10:10:36 AM     all     28.31      0.00      7.45     10.19      0.10     53.95
10:11:36 AM     all     36.94      0.00      9.68      9.20      0.06     44.13
10:12:36 AM     all     35.44      0.00      8.55      9.21      0.07     46.73
10:13:36 AM     all     40.52      0.00      6.97      7.89      0.09     44.53
10:14:36 AM     all     43.67      0.00      7.55      6.64      0.11     42.03
10:15:36 AM     all     42.70      0.00      9.38      5.73      0.12     42.06
10:16:36 AM     all     41.84      0.00      9.17      6.22      0.09     42.68
10:17:36 AM     all     36.28      0.00      9.40      9.97      0.08     44.27
10:18:36 AM     all     36.65      0.00     11.60     10.99      0.10     40.66
10:19:36 AM     all     37.01      0.00     11.15      8.76      0.12     42.96
10:20:36 AM     all     42.93      0.00     11.69      6.39      0.11     38.88
10:21:36 AM     all     39.46      0.00     10.96      8.80      0.09     40.68
10:22:36 AM     all     34.98      0.00     11.59      9.19      0.12     44.12
10:23:36 AM     all     31.96      0.00     14.31      5.98      0.27     47.49
10:24:36 AM     all     33.35      0.00     13.47      7.45      0.26     45.48
10:25:36 AM     all     36.94      0.00     13.47      5.90      0.21     43.49
10:26:36 AM     all     31.31      0.00     13.20      8.43      0.16     46.91
10:27:36 AM     all     34.34      0.00     13.03      6.27      0.19     46.17
10:28:36 AM     all     32.96      0.00     11.93      7.73      0.19     47.19
10:29:36 AM     all     36.15      0.00     12.27      8.06      0.12     43.42
10:30:36 AM     all     37.38      0.00     10.81      8.64      0.11     43.06
10:31:36 AM     all     31.96      0.00     11.24      9.74      0.15     46.91
10:32:36 AM     all     29.51      0.00     11.22     10.81      0.11     48.34
10:33:36 AM     all     32.68      0.00     12.02      6.90      0.17     48.22
10:34:36 AM     all     36.76      0.00     13.39      4.36      0.18     45.31
10:35:36 AM     all     33.55      0.00     12.81      6.61      0.17     46.85
10:36:36 AM     all     32.19      0.00     12.34      9.33      0.14     46.01
10:37:36 AM     all     38.16      0.00     13.48      4.86      0.17     43.34
10:38:36 AM     all     35.03      0.00     13.17      6.15      0.16     45.49
10:39:36 AM     all     35.50      0.00     12.49      5.25      0.20     46.56
10:40:36 AM     all     33.32      0.00     12.09      5.54      0.22     48.85
10:41:36 AM     all     31.19      0.00     12.42      3.23      0.36     52.80
10:42:36 AM     all     29.81      0.00     12.05      3.67      0.41     54.05
10:43:36 AM     all     28.79      0.00     12.45      5.31      0.34     53.10
10:44:36 AM     all     28.18      0.00     13.08      6.05      0.33     52.36
10:45:36 AM     all     30.49      0.00     13.13      6.68      0.26     49.44
10:46:36 AM     all     31.04      0.00     12.81      7.55      0.19     48.41
10:47:36 AM     all     32.45      0.00     13.79      5.33      0.21     48.21
10:48:36 AM     all     28.28      0.00     11.83      6.76      0.28     52.86
10:49:36 AM     all     28.11      0.00     11.96      7.42      0.26     52.25
10:50:36 AM     all     28.45      0.00     11.41      8.23      0.21     51.71
10:51:36 AM     all     29.11      0.00     11.09      9.76      0.15     49.89
10:52:36 AM     all     32.47      0.00     10.73     10.44      0.12     46.25
10:53:36 AM     all     32.04      0.00     11.82      6.57      0.19     49.37
10:54:36 AM     all     29.19      0.00     12.29      5.16      0.32     53.03
10:55:36 AM     all     31.07      0.00     12.56      4.67      0.34     51.36
10:56:36 AM     all     31.36      0.00     12.43      1.78      0.44     53.99
10:57:36 AM     all     30.14      0.00     12.82      1.67      0.46     54.91
10:58:36 AM     all     29.15      0.00     12.32      3.18      0.43     54.92
10:59:36 AM     all     33.65      0.00     12.33      1.60      0.37     52.05
11:00:36 AM     all     32.67      0.00     13.08      1.80      0.42     52.02
11:01:36 AM     all     30.34      0.00     12.78      1.70      0.52     54.65
11:02:36 AM     all     34.02      0.00     12.56      1.61      0.42     51.39
11:03:36 AM     all     40.33      0.00     12.64      1.36      0.30     45.37
11:04:36 AM     all     36.36      0.00     12.70      2.95      0.34     47.65
11:05:36 AM     all     29.84      0.00     12.67      3.56      0.40     53.54
11:06:36 AM     all     31.83      0.00     12.70      3.69      0.36     51.41
11:07:36 AM     all     31.56      0.00     12.24      4.83      0.33     51.03
11:08:36 AM     all     27.01      0.00     12.59      3.86      0.43     56.11
11:09:36 AM     all     30.09      0.00     12.80      2.98      0.40     53.73
11:10:36 AM     all     35.45      0.00     12.94      4.34      0.25     47.02
11:11:36 AM     all     32.84      0.00     13.37      3.78      0.30     49.71
11:12:36 AM     all     32.20      0.00     13.02      2.15      0.37     52.27
11:13:36 AM     all     34.95      0.00     12.49      1.56      0.32     50.69
11:14:36 AM     all     34.01      0.00     12.49      2.04      0.32     51.15
11:15:36 AM     all     33.75      0.00     12.47      8.32      0.14     45.33
11:16:36 AM     all     34.55      0.00     12.27      7.12      0.17     45.90
11:17:36 AM     all     31.90      0.00     11.94      5.38      0.25     50.54
11:18:36 AM     all     36.42      0.00     12.16      3.54      0.27     47.61
11:19:36 AM     all     38.56      0.00     12.97      2.53      0.26     45.69
11:20:36 AM     all     44.43      0.00     12.82      3.04      0.14     39.58
11:21:36 AM     all     45.57      0.00     12.05      3.68      0.14     38.55
11:22:36 AM     all     34.54      0.00     12.74      3.80      0.24     48.67
11:23:36 AM     all     32.13      0.00     13.28      3.76      0.26     50.58
11:24:36 AM     all     34.62      0.00     12.36      3.54      0.22     49.25
11:25:36 AM     all     33.51      0.00     12.58      3.99      0.26     49.66
11:26:36 AM     all     34.58      0.00     11.49      5.35      0.24     48.35
11:27:36 AM     all     36.12      0.00     12.79      4.54      0.22     46.33
11:28:36 AM     all     33.03      0.00     12.56      4.48      0.28     49.64
11:29:36 AM     all     31.07      0.00     13.54      3.61      0.31     51.48
11:30:36 AM     all     28.86      0.00     13.91      5.03      0.31     51.90
11:31:36 AM     all     32.55      0.00     13.88      4.46      0.31     48.80
11:32:36 AM     all     30.89      0.00     13.28      5.84      0.27     49.72
11:33:36 AM     all     27.40      0.00     12.09      6.51      0.26     53.74
11:34:36 AM     all     30.78      0.00     11.80      6.53      0.20     50.69
11:35:36 AM     all     32.20      0.00     11.75      6.22      0.20     49.64
11:36:36 AM     all     31.96      0.00     11.92      6.40      0.19     49.54
11:37:36 AM     all     32.09      0.00     11.70      6.39      0.19     49.64
11:38:36 AM     all     33.11      0.00     12.39      4.29      0.22     49.99
11:39:36 AM     all     32.00      0.00     12.77      2.86      0.31     52.06
11:40:36 AM     all     34.66      0.00     12.97      2.68      0.31     49.38
11:41:36 AM     all     37.88      0.00     13.08      2.26      0.26     46.53
11:42:36 AM     all     37.84      0.00     12.60      2.85      0.29     46.41
11:43:36 AM     all     35.79      0.00     11.70      5.79      0.22     46.49
11:44:36 AM     all     34.04      0.00     13.01      4.04      0.31     48.60
11:45:36 AM     all     33.01      0.00     13.17      4.25      0.37     49.21
11:46:36 AM     all     29.17      0.00     12.35      3.89      0.35     54.25
11:47:36 AM     all     29.35      0.00     11.97      4.37      0.34     53.97
11:48:36 AM     all     29.05      0.00     11.97      5.91      0.29     52.79
11:49:36 AM     all     32.75      0.00     11.66      8.29      0.18     47.12
11:50:36 AM     all     32.88      0.00     11.82      8.27      0.15     46.89
11:51:36 AM     all     29.01      0.00     10.45     11.34      0.13     49.07
11:52:36 AM     all     27.68      0.00     11.45      8.13      0.21     52.53
11:53:36 AM     all     30.22      0.00     11.64      4.22      0.37     53.55
11:54:36 AM     all     33.07      0.00     11.36      1.85      0.45     53.27
11:55:36 AM     all     37.02      0.00     11.65      1.83      0.37     49.14
11:56:36 AM     all     40.49      0.00     11.39      1.98      0.27     45.88
11:57:36 AM     all     42.79      0.00     11.30      1.16      0.24     44.50
