Linux 3.10.0-229.el7.x86_64 (ip-10-145-11-135.us-west-1.compute.internal) 	08/20/2015 	_x86_64_	(32 CPU)

08:17:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:18:33 AM     all      0.96      0.00      0.95      1.83      0.03     96.22
08:19:33 AM     all      0.92      0.00      0.84      2.10      0.04     96.10
08:20:33 AM     all      1.33      0.00      1.02      0.76      0.00     96.89
08:21:33 AM     all      1.26      0.00      1.14      0.78      0.00     96.82
08:22:33 AM     all      2.20      0.00      0.93      0.20      0.00     96.67
08:23:33 AM     all      0.82      0.00      0.26      1.86      0.00     97.06
08:24:33 AM     all      0.10      0.00      0.14      2.59      0.01     97.16
08:25:33 AM     all      0.16      0.00      0.18      2.50      0.01     97.15
08:26:33 AM     all      0.36      0.00      0.36      2.20      0.01     97.07
08:27:33 AM     all      0.61      0.00      0.55      1.81      0.01     97.02
08:28:33 AM     all      0.90      0.00      0.63      1.48      0.00     96.99
08:29:33 AM     all      1.69      0.00      0.87      0.55      0.00     96.89
08:30:33 AM     all      1.96      0.00      1.01      0.19      0.00     96.85
08:31:33 AM     all      2.05      0.00      1.04      0.08      0.00     96.83
08:32:33 AM     all      2.10      0.00      1.03      0.04      0.00     96.83
08:33:33 AM     all      2.10      0.00      1.05      0.02      0.00     96.83
08:34:33 AM     all      2.11      0.00      1.05      0.01      0.00     96.83
08:35:33 AM     all      2.13      0.00      1.03      0.01      0.00     96.83
08:36:33 AM     all      2.12      0.00      1.05      0.01      0.00     96.83
08:37:33 AM     all      2.12      0.00      1.05      0.01      0.00     96.83
08:38:33 AM     all      2.14      0.00      1.03      0.01      0.00     96.83
08:39:33 AM     all      2.12      0.00      1.05      0.00      0.00     96.83
08:40:33 AM     all      2.12      0.00      1.05      0.00      0.00     96.83
08:41:33 AM     all      2.15      0.00      1.02      0.01      0.00     96.83
08:42:33 AM     all      2.12      0.00      1.05      0.00      0.00     96.83
08:43:33 AM     all      2.13      0.00      1.04      0.01      0.00     96.83
08:44:33 AM     all      2.51      0.00      0.65      0.00      0.00     96.83
08:45:33 AM     all      2.15      0.00      1.02      0.00      0.00     96.82
08:46:33 AM     all      1.15      0.00      2.01      0.01      0.00     96.83
08:47:33 AM     all      1.15      0.00      2.02      0.01      0.00     96.82
08:48:33 AM     all      1.16      0.00      2.02      0.00      0.00     96.82
08:49:33 AM     all      1.17      0.00      2.01      0.01      0.00     96.82
08:50:33 AM     all      1.17      0.00      2.00      0.00      0.00     96.82
08:51:33 AM     all      1.16      0.00      2.01      0.00      0.00     96.83
08:52:33 AM     all      1.72      0.00      1.45      0.00      0.00     96.82
08:53:33 AM     all      2.31      0.00      0.84      0.00      0.00     96.84
08:54:33 AM     all      2.03      0.00      1.13      0.00      0.00     96.84
08:55:33 AM     all      1.84      0.00      0.63      0.65      0.00     96.87
08:56:33 AM     all      2.69      0.00      0.49      0.00      0.00     96.82
08:57:33 AM     all      2.74      0.00      0.44      0.00      0.00     96.83
08:58:33 AM     all      2.72      0.00      0.47      0.00      0.00     96.82
08:59:33 AM     all      2.72      0.00      0.45      0.00      0.00     96.82
09:00:33 AM     all      2.65      0.00      0.37      0.13      0.00     96.85
09:01:33 AM     all      2.93      0.00      0.23      0.00      0.00     96.84
09:02:33 AM     all      2.06      0.00      0.97      0.13      0.00     96.84
09:03:33 AM     all      1.80      0.00      1.10      0.24      0.00     96.86
09:04:33 AM     all      1.70      0.00      1.14      0.29      0.00     96.87
09:05:33 AM     all      1.56      0.00      0.90      0.63      0.00     96.90
09:06:33 AM     all      0.27      0.00      0.39      2.25      0.01     97.08
09:07:33 AM     all      0.77      0.00      0.74      1.49      0.00     97.01
